python library,encrypt time,decrypt time,time to perform operations,average deviation
Pyfhel,28768.12481880188,9450.262308120728,6349.708080291748,0.00014274320451993807
TenSEAL,5588.277816772461,1110.5270385742188,1004.6119689941406,2.2985331287158203e-06
